general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2836358563,2,Start,32,1,0,0,9bxav814mkuhueiyivyive82d,Auxerre,AJA,home,,,0.0,0.0,1,2025-08-17T15:15:09.811Z,2025-08-17T19:56:41Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Low Right: Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,match_admin,Gestión de partido / cambios / organización
2836358543,2,Start,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,,,0.0,0.0,1,2025-08-17T15:15:09.811Z,2025-08-17T15:15:09Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Low Right: Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,match_admin,Gestión de partido / cambios / organización
2836358623,3,Pass,1,1,0,0,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,drvxsxvv0g03fw69sf8xvyp6,,49.9,50.3,1,2025-08-17T15:15:09.812Z,2025-08-17T15:15:13Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Pass End Y: 44.8; Lay-off: 13.0; Launch: 3.43; Crowd interaction: Back; Inswinger: S; Pass End X: 38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,44.8,,,,,,,,13.0,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
2836358711,4,Pass,1,1,0,3,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,5wsz3usdkj01snq28pzpiwb2s,,38.0,44.8,1,2025-08-17T15:15:13.786Z,2025-08-17T15:15:17Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Pass End X: 42.5; Launch: 4.89; Crowd interaction: Back; Lay-off: 26.1; Pass End Y: 7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,7.0,,,,,,,,26.1,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
2836358733,5,Pass,1,1,0,7,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,blsn3vd9ixyrtiiw3t023cuwa,,42.5,7.0,1,2025-08-17T15:15:17.626Z,2025-08-17T15:17:53Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Pass End X: 32.3; Launch: 2.76; Crowd interaction: Back; Pass End Y: 13.4; Lay-off: 11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,13.4,,,,,,,,11.6,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
2836358823,6,Pass,1,1,0,8,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,5emz2pmqmy4ksbmmt3krbtzze,,32.3,13.4,1,2025-08-17T15:15:18.346Z,2025-08-17T15:17:58Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Launch: 1.78; Pass End Y: 37.6; Lay-off: 16.8; Crowd interaction: Back; Pass End X: 28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,37.6,,,,,,,,16.8,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
2836358855,7,Pass,1,1,0,12,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,996i59930r3kd4xk48x9fsp2h,,31.2,46.7,1,2025-08-17T15:15:22.282Z,2025-08-17T15:15:24Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Pass End X: 26.5; Crowd interaction: Back; Pass End Y: 77.9; Lay-off: 21.8; Launch: 1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,77.9,,,,,,,,21.8,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
2836358879,8,Pass,1,1,0,14,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,31ur1f7xmxndnnabhrxyov6xh,,26.5,77.9,1,2025-08-17T15:15:24.634Z,2025-08-17T15:19:25Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Pass End X: 29.3; Pass End Y: 93.2; Crowd interaction: Back; Launch: 1.30; Lay-off: 10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,93.2,,,,,,,,10.8,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
2836358995,3,Challenge,45,1,0,18,9bxav814mkuhueiyivyive82d,Auxerre,AJA,home,1ho9nox6j8s5cxd1kxjspsrca,,59.1,19.2,0,2025-08-17T15:15:28.506Z,2025-08-17T16:05:21Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Post match complete: Si; Caught: 9; Crowd interaction: Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,dribble_duel,Regates y duelos individuales
2836358991,9,Take On,3,1,0,18,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,5c2zuz7f53hvqn5be1k2nddsk,,40.9,80.8,1,2025-08-17T15:15:28.506Z,2025-08-17T19:57:11Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Crowd interaction: Back; Caught: 3,"ID: 465, Value: ; ID: 286, Value: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,dribble_duel,Regates y duelos individuales
2836359041,10,Pass,1,1,0,22,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,5c2zuz7f53hvqn5be1k2nddsk,,59.3,79.2,1,2025-08-17T15:15:32.075Z,2025-08-17T15:15:35Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Lay-off: 19.5; Launch: 5.24; Pass End Y: 54.5; Crowd interaction: Center; Pass End X: 68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7,54.5,,,,,,,,19.5,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
2836359063,11,Pass,1,1,0,25,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,92x4ssmd4sq2upjn0dyws5wq1,,69.9,54.2,1,2025-08-17T15:15:35.066Z,2025-08-17T15:15:36Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Pass End X: 64.2; Crowd interaction: Center; Lay-off: 6.3; Launch: 2.81; Pass End Y: 57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2,57.2,,,,,,,,6.3,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
2836359223,12,Pass,1,1,0,26,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,5wsz3usdkj01snq28pzpiwb2s,,65.2,57.2,1,2025-08-17T15:15:36.107Z,2025-08-17T15:23:19Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Lay-off: 22.0; Injured player id: 15; Pass End Y: 36.7; Crowd interaction: Center; Pass End X: 81.4; Launch: 5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4,36.7,,,,,,,,22.0,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
2836359141,4,Challenge,45,1,0,30,9bxav814mkuhueiyivyive82d,Auxerre,AJA,home,512mx8ixg85cbefyan94g82y1,,15.0,58.8,0,2025-08-17T15:15:39.874Z,2025-08-17T16:05:36Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Crowd interaction: Back; Caught: 13; Post match complete: Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,dribble_duel,Regates y duelos individuales
2836359245,13,Take On,3,1,0,30,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,blsn3vd9ixyrtiiw3t023cuwa,,85.0,41.2,1,2025-08-17T15:15:39.874Z,2025-08-17T21:34:07Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Caught: 4; Crowd interaction: Center,"ID: 464, Value: ; ID: 286, Value: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,dribble_duel,Regates y duelos individuales
2836359161,5,Save,10,1,0,31,9bxav814mkuhueiyivyive82d,Auxerre,AJA,home,2173tp0hk6gsx2o46hx4h5mju,,15.0,59.1,1,2025-08-17T15:15:41.106Z,2025-08-17T21:34:19Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Crowd interaction: Back; Caught: 14,"ID: 94, Value: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,goalkeeper,Acciones específicas de portero
2836359253,14,Saved Shot,15,1,0,31,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,blsn3vd9ixyrtiiw3t023cuwa,,82.2,37.6,1,2025-08-17T15:15:41.006Z,2025-08-17T19:57:43Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Excessive celebration: 12; End cause: Si; Crowd interaction: Center; Six Yard Blocked: 40.2; Direct free: 85.9; Parried danger: 48.4; Small box-right: 50.3; Left footed: Si; Caught: 5; Regular play: Si; Assisted: Si; Parried safe: 98.4; Other body part: Si; Small box-left: 19; Foul and Abusive Language: Si,"ID: 78, Value: ",,,,,,,,,,,,,,,,,,,,,Si,Si,,,,,,,Si,,,,,,,,,12,Center,,,,,,,,,,,,,Si,,,,,50.3,19,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,85.9,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,98.4,48.4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,shot,Finalización (tiros y goles)
2836409091,404,Ball touch,61,1,0,32,9bxav814mkuhueiyivyive82d,Auxerre,AJA,home,1i1kglybnprrm3qliag8citm2,,24.9,26.5,0,2025-08-17T15:15:41.811Z,2025-08-17T16:05:46Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Crowd interaction: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
2836359363,15,Pass,1,1,0,37,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,31ur1f7xmxndnnabhrxyov6xh,,65.0,58.7,1,2025-08-17T15:15:46.811Z,2025-08-17T15:24:43Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Launch: 4.57; Pass End X: 64.3; Crowd interaction: Center; Pass End Y: 50.9; Lay-off: 5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3,50.9,,,,,,,,5.4,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
2836359423,16,Pass,1,1,0,38,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,3hiehiu25aufrc0q9890haqc5,,62.9,47.8,1,2025-08-17T15:15:48.571Z,2025-08-17T15:15:52Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Pass End Y: 22.3; Lay-off: 20.2; Launch: 4.18; Crowd interaction: Center; Pass End X: 53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,22.3,,,,,,,,20.2,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
2836359475,17,Pass,1,1,0,42,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,5emz2pmqmy4ksbmmt3krbtzze,,52.4,22.3,1,2025-08-17T15:15:51.963Z,2025-08-17T15:15:54Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Launch: 2.09; Pass End X: 44.4; Pass End Y: 44.0; Lay-off: 17.0; Crowd interaction: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,44.0,,,,,,,,17.0,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
2836359485,18,Pass,1,1,0,44,70nn27vgkt6l48lvv5e66q7ww,Lorient,FCL,away,996i59930r3kd4xk48x9fsp2h,,42.7,46.4,1,2025-08-17T15:15:54.395Z,2025-08-17T15:15:55Z,74h5os2atpg4gkrdbrss9gefo,13,2025-08-17,17:15:00,1,2,45,Auxerre vs Lorient,Crowd interaction: Back; Pass End Y: 27.8; Pass End X: 45.0; Lay-off: 12.9; Launch: 4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,27.8,,,,,,,,12.9,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,,,possession,Posesión / circulación
